de jure,according to law,"Literally ""from law""; something that is established in law, whether or not it is true in general practice. Cf. de facto."
de lege ferenda,of the law as it should be,"Used in the context of ""how the law should be"", such as for proposed legislation."
de lege lata,of the law as it is,"Concerning the law as it exists, without consideration of how things should be."
delegatus non potest delegare,That which has been delegated cannot delegate [further],
de minimis,about the smallest things,Various legal areas concerning small amounts or small degrees.
de minimis non curat lex,The law does not concern itself with the smallest [things],There must be a minimal level of substance or impact in order to bring a legal action.
de mortuis nil nisi bonum,"Of the dead, [speak] nothing unless good","Social convention that it is inappropriate to speak ill of the recently deceased, even if they were an enemy."
de novo,anew,"Often used in the context of ""trial de novo"" Ð a new trial ordered when the previous one failed to reach a conclusion."
deorum injuriae diis curae,The gods take care of injuries to the gods,"Blasphemy is a crime against the State, rather than against God."
dictum,(thing) said,A statement given some weight or consideration due to the respect given the person making it.
doli incapax,incapable of guilt,Presumption that young children or persons with diminished mental capacity cannot form the intent to commit a crime.
dolus specialis,Specific deceit,Heavily used in the context of genocide in international law.
domitae naturae,tame by nature,Tame or domesticated animal. Also called mansuetae naturae. Opposite of ferae naturae (below)
donatio mortis causa,deathbed gift,"Gift causa mortis; ""The donor, contemplating imminent death, declares words of present gifting and delivers the gift to the donee or someone who clearly takes possession on behalf of the donee. The gift becomes effective at death but remains revocable until that time.""[2]"
dramatis personae,persons of the drama,
dubia in meliorem partem interpretari debent,Doubtful things should be interpreted in the best way,"Often spoken as ""to give the benefit of the doubt."""
duces tecum,bring with you,"A ""subpoena duces tecum"" is a summons to produce physical evidence for a trial."
ei incumbit probatio qui dicit,Proof lies on him who asserts.,The concept that one is innocent until proven guilty.
ejusdem generis,of the same class,"Known as a ""canon of construction"", it states that when a limited list of specific things also includes a more general class, that the scope of that more general class shall be limited to other items more like the specific items in the list."
eo nomine,by that name,
erga omnes,towards all,Refers to rights or obligations that are owed towards all.
ergo,therefore,
erratum,having been made in error,
et al.,and others,"Abbreviation of et alii, meaning ""and others""."
et cetera,and other things,"Generally used in the sense of ""and so forth""."
et seq.,and the following things,"Abbreviation of et sequens, meaning ""and the following ones"". Used in citations to indicate that the cited portion extends to the pages following the cited page."
et uxor,and wife,Usually used instead of naming a man's wife as a party in a case.
et vir,and husband,Usually used instead of naming a woman's husband as a party in a case.
ex aequo et bono,of equity and [the] good,"Usually defined as ""what is right and good."" Used to describe the power of a judge or arbiter to consider only what is fair and good for the specific case, and not necessarily what the law may require. In courts, usually only done if all parties agree."
ex ante,of before,"Essentially meaning ""before the event"", usually used when forecasting future events."
ex cathedra,from the chair,Where chair refers to authority or position. Authority derived from one's position.
ex concessis,from what has been conceded already,"Often used in a ""guilt by association"" context."
ex delicto,from a transgression,The consequence of a crime or tort.
ex demissione,from a transgression,part of the title of the old action of ejectment
Jones v. Doe ex dem. Smith,,
ex facie,on the face,"If a contract is blatantly and obviously incorrect or illegal, it can be considered void ex facie without any further analysis or arguments."
ex factis jus oritur,the law arises from the facts,A principle in international law that one must take facts on the ground into account when considering the legality of certain kinds of questions.
ex fida bona,good business norms,
ex gratia,by favor,Something done voluntarily and with no expectation of a legal liability arising therefrom.
ex injuria jus non oritur,Law does not arise from injustice.,A principle in international law that unjust acts cannot create laws.
ex officio,from the office,Something done or realized by the fact of holding an office or position.
ex parte,from [for] one party,"A decision reached, or case brought, by or for one party without the other party being present."
ex post,from after,Based on knowledge of the past.
ex post facto,from a thing done afterward,"Commonly said as ""after the fact."""
ex post facto law,,A retroactive law. E.g. a law that makes illegal an act that was not illegal when it was done.
expressio unius est exclusio alterius,The express mention of one thing excludes all others.,"When items are listed, anything not explicitly stated is assumed to not be included."
ex proprio motu,by [one's] own motion,"Commonly spoken as ""by one's own accord."""
ex rel,[arising] out of the narration [of the relator],"Abbreviation of ex relatione. Used when the government brings a case that arises from the information conveyed to it by a third party (""relator"")."
ex turpi causa non oritur actio,From a dishonorable cause an action does not arise.,A party cannot bring a legal action for consequences of his own illegal act.
exempli gratia,for the sake of example,"Usually abbreviated ""e.g.""."
ex tunc,from then,Term used in contract law to specify terms that are voided or confirmed in effect from the execution of the contract. Cf. ex nunc.
ex nunc,from now on,"Term used in contract law to specify terms that are voided or confirmed in effect only in the future and not prior to the contract, or its adjudication. Cf. ex tunc."
extant,existing,"Refers to things that are currently existing at a given point, rather than things that are no longer so."
factum,deed,1. an assured statement made; 2. completion of a will and all its parts to make it valid and legal; 3). book of facts and law presented in a Canadian court.
facio ut facias,"I do, that you may do","A type of contract wherein one party agrees to do work for the other, in order that the second party can then perform some work for the first in exchange."
favor contractus,favor of the contract,A concept in treaty law that prefers the maintaining of a contract over letting it expire for purely procedural reasons.
felo de se,felon of himself,"A suicide. This archaic term stems from English common law, where suicide was legally a felony, thus a person who committed suicide was treated as a felon for purposes of estate disposal."
ferae naturae,wild animals by nature,Wild animals residing on unowned property do not belong to any party in a dispute on the land. Opposite of domitae naturae (above).
fiat,Let it be done.,A warrant issued by a judge for some legal proceedings.
Fiat justitia et pereat mundus,"Let there be justice, though the world perish.","Often used as a motto, notably by Ferdinand I, Holy Roman Emperor."
fiat justitia ruat caelum,Let justice be done though the heavens fall.,"Also sometimes a motto, a legal maxim that justice must be done regardless of the result otherwise."
fieri facias,May you cause to be done.,A writ ordering the local law enforcement to ensure that damages awarded by the court are properly recovered. A writ of execution.
"fortis attachiamentum, validior praesumptionem","strong attachment, the stronger presumption","When determining whether a chattel is a fixture: ""size doesn't matter, how much or degree chattel is attached to 'land' and to 'what' """
forum non conveniens,disagreeable forum,"A concept wherein a court refuses to hear a particular matter, citing a more appropriate forum for the issue to be decided."
fructus industriales,industrial fruits,"Emblements; in property law, a co-owner profitng from her or his fructus industriales is solely responsible for any losses that my occur.[2] (vs. fructus naturales, see below)."
fructus naturales,natural fruits,"Vegetation naturally growing from old roots (as pasturage) or from trees (as timber or fruit) (vs. fructus industriales, see above)."
fumus boni iuris,smoke of a good right,Refers to having a sufficient legal basis to bring legal action.
functus officio,having performed his office,"A person, court, statute, or legal document that has no legal authority, because its original legal purpose has been fulfilled."
generalia specialibus non derogant,The general does not detract from the specific.,"Specifies that a certain matter of law be covered by the most specific laws pertaining, in the event that broader laws conflict with the specific one."
gravamen,things weighing down,The basic element or complaint of a lawsuit.
guardian ad litem,guardian for the case,"An independent party appointed in family law disputes to represent parties that cannot represent themselves, such as minors, developmentally disabled, or elderly."
habeas corpus,May you have the body.,"A writ used to challenge the legality of detention. Orders the detaining party to ""have the (living) body"" of the detained brought before the court where the detention will be investigated."
hostis humani generis,enemy of the human race,"A party considered to be the enemy of all nations, such as maritime pirates."
i.e.,that is,"Abbreviation of id est, meaning ""that is"", in the sense of restating something that may not have been clear."
ibid.,in the same place,"Abbreviation of ibidem, meaning ""in the same place. Used when citing sources, to indicate the cited source came from the identical location as the preceding one."
idem,the same,"Used in citations to indicate the cited source came from the same source as the preceding one, though not necessarily the same page or location. Cf. ibid."
ignorantia juris non excusat,Ignorance of the law does not excuse.,A principle that states that not having knowledge of a law is not an excuse for breaking it.
imprimatur,Let it be printed.,An authorization for a document to be printed. Used in the context of approval by a religious body or other censoring authority.
in absentia,in absence,"A legal proceeding conducted without the presence of one party is said to be conducted in absentia, e.g., trial in absentia or being sentenced in absentia."
In articulo mortis,at the moment of death,"Often used in probate law, as well as for testimony in the sense of a dying declaration."
in camera,in the chamber,"Conducted in private, or in secret. The opposite of in open court."
in curia,in court,Conducted in open court. The opposite of in camera.
in esse,in existence,Actually existing in reality. Opposite of in posse.
in extenso,in the extended,"In extended form, or at full length. Often used to refer to publication of documents, where it means the full unabridged document is published."
in extremis,in the extreme,"In extreme circumstances. Often used to refer to ""at the point of death."""
in flagrante delicto,in blazing offense,"Caught in the actual act of committing a crime. Often used as a euphemism for a couple caught in the act of sexual intercourse, though it technically refers to being ""caught in the act"" of any misdeed."
in forma pauperis,in the manner of a pauper,"Someone unable to afford the costs associated with a legal proceeding. As this will not be a barrier to seeking justice, such persons are given in forma pauperis status (usually abbreviated IFP), wherein most costs are waived or substantially reduced."
in futuro,in the future,"Refers to things to come, or things that may occur later but are not so now. As in in futuro debts, i.e. debts which become due and payable in the future."
in haec verba,in these words,"Used when including text in a complaint verbatim, where its appearance in that form is germane to the case, or is required to be included."
in limine,at the threshold,A motion to a judge in a case that is heard and considered outside the presence of the jury.
in loco parentis,in the place of a parent,"Used to refer to a person or entity assuming the normal parental responsibilities for a minor. This can be used in transfers of legal guardianship, or in the case of schools or other institutions that act in the place of the parents on a day-to-day basis."
in mitius,in the milder,A type of retroactive law that decriminalizes offenses committed in the past. Also known as an amnesty law.
in omnibus,in all,"Used to mean ""in every respect."" Something applying to every aspect of a situation."
in pari delicto,in equal offense,Used when both parties to a case are equally at fault.
in pari materia,in the same matter,"Refers to a situation where a law or statute may be ambiguous, and similar laws applying to the matter are used to interpret the vague one."
in personam,in person,"Used in the context of ""directed at this particular person"", refers to a judgement or subpoena directed at a specific named individual. Cf. in rem."
in pleno,in full,
in prope persona,on one's own person,One who represents themselves in court without the [official] assistance of an attorney.
in propria persona,in one's own proper person,Alternate form of in prope persona. One who represents themselves in court without the [official] assistance of an attorney.
in re,in the matter [of],"Used in the title of a decision or comment to identify the matter they are related to; usually used for a case where the proceeding is in rem or quasi in rem and not in personam (e.g. probate or bankrupt estate, guardianship, application for laying out a public highway) and occasionally for an ex parte proceeding (e.g. application for a writ of habeas corpus)."
in rem,about a thing,"Used in the context of a case against property, as opposed to a particular person. See also in rem jurisdiction. Cf. in personam."
in situ,in position,"Often used in the context of decisions or rulings about a property or thing ""left in place"" after the case as it was before."
in solidum,for the whole,"Jointly and severally; where a group of persons share liability for a debt, such as co-signers to a loan, the debtor can sue a single party in solidum, that is, to recover the entire amount owed."
in terrorem,in order to frighten,"A warning or threat to sue, made in the hopes of convincing the other party to take action to avoid a lawsuit."
in terrorem clause,"clause ""in order to frighten""",A clause in a will that threatens any party who contests the will with being disinherited. Also called a no-contest clause.
in toto,in total,
indicia,indications,Often used in copyright notices. Refers to distinctive markings that identify a piece of intellectual property.
infra,below or under,
innuendo,by nodding,"An intimation about someone or something, made indirectly or vaguely suggesting the thing being implied. Often used when the implied thing is negative or derogatory."
inter alia,among others,Used to indicate an item cited has been pulled from a larger or more complete list.
inter arma enim silent leges,"For among arms, the laws fall silent.","A concept that during war, many illegal activities occur. Also taken to mean that in times of war, laws are suppressed, ostensibly for the good of the country."
inter rusticos,among rustics,"Refers to contract, debts, or other agreements made between parties who are not legal professionals."
inter se,amongst themselves,"Refers to obligations between members of the same group or party, differentiated from the whole party's obligations to another party."
inter vivos,between the living,"Refers to a gift or other non-sale transfer between living parties. This is in contrast to a will, where the transfer takes effect upon one party's death."
intra,within,
intra fauces terrae,within the jaws of the land,This term refers to a nation's territorial waters.
intra legem,within the law,Used in various contexts to refer to the legal foundation for a thing.
intra vires,within the powers,"Something done which requires legal authority, and the act is performed accordingly. Cf. ultra vires."
ipse dixit,He himself said it.,An assertion given undue weight solely by virtue of the person making the assertion.
ipsissima verba,the very words,Referring to a document or ruling that is being quoted by another.
ipso facto,by the fact itself,"Used in the context that one event is a direct and immediate consequence of another. ""In and of itself."""
ipso jure,the law itself,By operation of law.
iudex non calculat,The judge does not calculate.,"A principle that calculation errors made by the court do not invalidate the judgement on a technicality. Also taken to mean that the judge does not tally up the arguments of both sides and decide in favor of the more numerous, but rather weighs all of the evidence without regard to the number of arguments made."
jura novit curia,The court knows the law.,Concept that parties to a case do not need to define how the law applies to their case. The court is solely responsible for determining what laws apply.
jurat,(He) swears,"Appears at the end of an affidavit, where the party making the affirmation signs the oath, and the information on whom the oath was sworn before is placed."
juris et de jure,"of law, and from law","Irrebuttable or conclusive presumptions of law. One cannot argue against, or try to otherwise refute these."
jus,"law, right",Essentially: law.
jus accrescendi,right of survivorship; right of accrual,"(1) Right of survivorship: In property law, on the death of one joint tenant, that tenant's interest passes automatically to the surviving tenant(s) to hold jointly until the estate is held by a sole tenant. The only way to defeat the right of survivorship is to sever the joint tenancy during the lifetime of the parties, the right of survivorshop takes priority over a will or interstate accession rules.[2] (2) (Civil law) right of accrual: Right of the beneficiary to succeed proportionately to a benefit that another beneficiary in the same will cannot or does not want to take."
jus ad bellum,laws to war,"Refers to legalities considered before entering into a war, to ensure it is legal to go to war initially. Not to be confused with ius in bello (q.v.), the ""laws of war"" concerning how war is carried out."
jus civile,civil law,"A codified set of laws concerning citizenry, and how the laws apply to them."
jus cogens,compelling law,"Internationally agreed laws that bear no deviation, and do not require treaties to be in effect. An example is law prohibiting genocide."
jus commune,common law,"Not actually referring to common law, this term refers to common doctrine and principles of civil law that underlie all aspects of the legal system."
jus gentium,law of nations,"Customary law followed by all nations. Nations being at peace with one another, without having to have an actual peace treaty in force, would be an example of this concept."
jus in bello,law in war,Laws governing the conduct of parties in war.
jus inter gentes,law between the peoples,Laws governing treaties and international agreements.
jus naturale,natural law,"Laws common to all people, that the average person would find reasonable, regardless of their nationality."
jus primae noctis,right of the first night,Supposed right of the lord of an estate to take the virginity of women in his estate on their wedding night.
jus quaesitum tertio,right to third-party relief,"Right of a third-party beneficiary to sue in order to enforce a third-party contract (i.e., the opposite of privity of contract)."
jus sanguinis,right of blood,Social law concept wherein citizenship of a nation is determined by having one or both parents being citizens.
jus soli,right of soil,Social law concept wherein citizenship of a nation is determined by place of birth.
jus tertii,law of the third,"Arguments made by a third party in disputes over possession, the intent of which is to question one of the principal parties' claims of ownership or rights to ownership."
lacunae,"void, gap","A situation arising that is not covered by any law. Generally used in International Law, as all countries codify according to their own systems of law."
"leges humanae nascuntur, vivunt, moriuntur","The laws of man are born, live, and die.","Illustrates that laws are made, are in force for a period, and then become obsolete."
lex commissoria,,"Forfeiture clause for nonperformance of a contract, especially (1) a provision that a pledge shall be forfeited if a loan is defaulted, or (2) a condition that money paid on a contract of sale shall be forfeited and the sale rescinded if outstanding payments are defaulted. Also known as a pactum commissorium."
lex communis,common law,Alternate form of jus commune. Refers to common facets of civil law that underlie all aspects of the law.
lex lata,the law borne,The law as it has been enacted.
lex loci,the law of the place,"The law of the country, state, or locality where the matter under litigation took place. Usually used in contract law, to determine which laws govern the contract."
lex posterior derogat priori,Later law removes the earlier.,More recent law overrules older ones on the same matter.
lex retro non agit,The law does not operate retroactively.,A law cannot make something illegal that was legal at the time it was performed. See ex post facto law.
lex scripta,written law,"Law that specifically codifies something, as opposed to common law or customary law."
lex specialis derogat legi generali,Specific law takes away from the general law.,"Where several laws apply to the same situation, the more specific one(s) take precedence over more general ones."
liberum veto,free veto,"An aspect of a unanimous voting system, whereby any member can end discussion on a proposed law."
lingua franca,the Frankish language,"A language common to an area that is spoken by all, even if not their mother tongue. Term derives from the name given to a common language used by traders in the Mediterranean basin dating from the Middle Ages."
lis alibi pendens,lawsuit elsewhere pending,"Refers to requesting a legal dispute be heard that is also being heard by another court. To avoid possibly contradictory judgements, this request will not be granted."
lis pendens,suit pending,Often used in the context of public announcements of legal proceedings to come. Compare pendente lite (below).
locus,place,
locus delicti,place of the crime,"Shorthand version of Lex locus delcti commissi. The ""scene of the crime""."
locus in quo,the place in which,The location where a cause of action arose.
locus poenitentiae,place of repentance,When one party withdraws from a contract before all parties are bound.
locus standi,place of standing,The right of a party to appear and be heard before a court.
mala fide,(in) bad faith,A condition of being fraudulent or deceptive in act or belief.
maleficia propositis distinguuntur,Evil acts are distinguished from (evil) purposes/crimes are distinguished by evil intent.,Evil acts are distinguished from evil purposes[4] crimes are distinguished by the intention[5]
malum in se,wrong in itself,"Something considered a universal wrong or evil, regardless of the system of laws in effect."
malum prohibitum,prohibited wrong,"Something wrong or illegal by virtue of it being expressly prohibited, that might not otherwise be so."
mandamus,we command,"A writ issue by a higher court to a lower one, ordering that court or related officials to perform some administrative duty. Often used in the context of legal oversight of government agencies."
mare clausum,closed sea,"A body of water under the jurisdiction of a state or nation, to which access is not permitted, or is tightly regulated."
mare liberum,open sea,"A body of water open to all. Typically a synonym for International Waters, or in other legal parlance, the ""High Seas""."
mens rea,guilty mind,"One of the requirements for a crime to be committed, the other being actus reus, the guilt act. This essentially is the basis for the notion that those without sufficient mental capability cannot be judged guilty of a crime."
modus operandi,manner of operation,"A person's particular way of doing things. Used when using behavioral analysis while investigating a crime. Often abbreviated ""M.O."""
mora accipiendi,delay of creditor,Delay in payment or performance in the part of the creditor or obligor.
mora solvendi,delay of debtor,Delay in payment or performance in the part of the debtor or the obligee.
mortis causa,in contemplation of death,Gift or trust that is made in contemplation of death.
mos pro lege,custom for law,That which is the usual custom has the force of law.
motion in limine,motion at the start,"Motions offered at the start of a trial, often to suppress or pre-allow certain evidence or testimony."
mutatis mutandis,having changed [the things that] needed to be changed,A caution to a reader when using one example to illustrate a related but slightly different situation. The caution is that the reader must adapt the example to change what is needed for it to apply to the new situation.
ne exeat,let him not exit [the republic],"Shortened version of ne exeat repiblica: ""let him not exit the republic"". A writ to prevent one party to a dispute from leaving (or being taken) from the court's jurisdiction."
non bis in idem,not twice in the same,Prohibition against double jeopardy. A legal action cannot be brought twice for the same act or offense.
negotiorum gestio,management of estate,"Quasi-contractual obligation arising from good works affecting other people, obliging the benefited party (dominus negotii) to reimburse the gestor for the cost that was used in doing good works."
nemo auditur propriam turpitudinem allegans,"No one can be heard, who invokes his own guilt.",Nobody can bring a case that stems from their own illegal act.
nemo dat quod non habet,No one gives what he does not have.,"If someone purchases something that the seller has no right to (such as stolen property), the purchaser will likewise have no legal claim to the thing bought."
nemo debet esse iudex in propria,No one shall be a judge in his own case.,In the past it was thought that it included just two rules namely (1) nemo debet esse judex in propria causa (no one shall be a judge in his own case)[clarification needed]
nemo ius ignoratur censetur,Not knowing the law is harmful.,"Everyone should know the law. This is used in European Law-countries with a history of Roman law, the 'sentence' was first made by Aristotle."
nemo judex in sua causa,No one shall be a judge in his own case.,"Prevents conflict of interest in courts. Often invoked when there is really no conflict, but when there is even the appearance of one."
nemo plus iuris ad alium transferre potest quam ipse habet,No one can transfer a greater right than he himself has.,"A purchaser of stolen goods will not become the rightful owner thereof, since the seller himself was not the owner to begin with."
nihil dicit,He says nothing.,"A judgement rendered in the absence of a plea, or in the event one party refuses to cooperate in the proceedings."
nisi,unless,A decree that does not enter into force unless some other specified condition is met.
nisi prius,unless first,Refers to the court of original jurisdiction in a given matter.
nolle prosequi,not to prosecute,A statement from the prosecution that they are voluntarily discontinuing (or will not initiate) prosecution of a matter.
nolo contendere,I do not wish to dispute,"A type of plea whereby the defendant neither admits nor denies the charge. Commonly interpreted as ""No contest."""
non adimpleti contractus,of a non-completed contract,"In the case where a contract imposes specific obligations on both parties, one side cannot sue the other for failure to meet their obligations, if the plaintiff has not themselves met their own."
non compos mentis,not in possession of [one's] mind,Not having mental capacity to perform some legal act
non constat,It is not certain.,"Refers to information given by one who is not supposed to give testimony, such as an attorney bringing up new information that did not come from a witness. Such information is typically nullified."
non est factum,It is not [my] deed.,A method whereby a signatory to a contract can invalidate it by showing that his signature to the contract was made unintentionally or without full understanding of the implications.
non est inventus,He is not found.,Reported by a sheriff on writ when the defendant cannot be found in his county or jurisdiction.
"non faciat malum, ut inde veniat bonum",Not to do evil that good may come.,"Performing some illegal action is not excused by the fact that a positive result came therefrom. Often used to argue that some forms of expression, such as graffiti or pornographic films, cannot be given the protection of law (e.g. copyright) as they are or may be considered illegal or morally reprehensible."
non liquet,It is not clear.,"A type of verdict where positive guilt or innocence cannot be determined. Also called ""not proven"" in legal systems with such verdicts."
non obstante verdicto,notwithstanding the verdict,A circumstance where the judge may override the jury verdict and reverse or modify the decision.
novus actus interveniens,a new action coming between,A break in causation (and therefore probably liability) because something else has happened to remove the causal link.
noscitur a sociis,It is known by friends.,"An ambiguous word or term can be clarified by considering the whole context in which it is used, without having to define the term itself."
nota bene,note well,A term used to direct the reader to cautionary or qualifying statements for the main text.
nudum pactum,naked promise,"An unenforceable promise, due to the absence of consideration or value exchanged for the promise."
nulla bona,no goods,Notation made when a defendant has no tangible property available to be seized in order to comply with a judgement.
nulla poena sine lege,no penalty without a law,One cannot be prosecuted for doing something that is not prohibited by law.
"nullum crimen, nulla poena sine praevia lege poenali","no crime, no punishment without a previous penal law","One cannot be prosecuted for doing something that was not prohibited by law at the time and place it was committed, notwithstanding laws made since that time. A form of prohibition on retroactive laws."
nunc pro tunc,now for then,An action by a court to correct a previous procedural or clerical error.
obiter dictum,a thing said in passing,"In law, an observation by a judge on some point of law not directly relevant to the case before him, and thus neither requiring his decision nor serving as a precedent, but nevertheless of persuasive authority. In general, any comment, remark or observation made in passing."
onus probandi,,Burden of proof.
pace,with peace,Used to say 'contrary to the opinion of.' It is a polite way of marking a speaker's disagreement with someone or some body of thought.
pacta sunt servanda,Agreements must be kept.,A fundamental principle of law.
par delictum,equal fault,Used when both parties to a dispute are at fault.
parens patriae,parent of the nation,Refers to the power of the State to act as parent to a child when the legal parents are unable or unwilling.
pari passu,on equal footing,"Equal ranking, equal priority (usually referring to creditors)."
pater familias,father of the family,"The head of household, for purposes of considering the rights and responsibilities thereof. (Civil law) bonus paterfamilias: a standard of care equivalent to the common law ordinary reasonable man."
pendente lite,while the litigation is pending,Court orders used to provide relief until the final judgement is rendered. Commonly used in divorce proceedings. The adverbial form of lis pendens (above).
per capita,by head,Dividing money up strictly and equally according to the number of beneficiaries
per contra,by that against,"Legal shorthand for ""in contrast to""."
per curiam,through the court,"A decision delivered by a multi-judge panel, such as an appellate court, in which the decision is said to be authored by the court itself, instead of situations where those individual judges supporting the decision are named."
per incuriam,by their neglect,A judgement given without reference to precedent.
per minas,through threats,"Used as a defense, when illegal acts were performed under duress."
per proxima amici,by or through the next friend,"Employed when an adult brings suit on behalf of a minor, who was unable to maintain an action on his own behalf at common law."
